,Region,Sector,Shift_lat,Shift_lon,Haversine
0,AreaOutsideRegion,ALL,-0.00000000000001421085,0.00000000000002842171,0.00000000000248090899
1,AucklandRegion,ALL,0.00387081983935644303,0.00143372397201346757,0.44891707960250226694
2,BayOfPlentyRegion,ALL,0.03425641808252777309,-0.03150669122746307949,4.70786366277794066093
3,CanterburyRegion,ALL,0.01405984635508161773,0.02545376343894645288,2.57763875854604540550
4,GisborneRegion,ALL,-0.02672821850672590926,0.00147228464365412037,2.97480190608194794422
5,HawkesBayRegion,ALL,-0.00643565344747543122,0.00395873137148328169,0.79194426419281294116
6,Manawatu-WanganuiRegion,ALL,-0.01052323224402584856,-0.00969716646983442843,1.43127633088732575395
7,MarlboroughRegion,ALL,-0.01875643656027392581,-0.00596851232342032745,2.14402113217390688504
8,NelsonRegion,ALL,-0.00436372013218999655,-0.00344801023626928327,0.56431582686365466817
9,NorthlandRegion,ALL,-0.00783409563817372145,0.03809891560692335588,3.55349565879335260732
10,OtagoRegion,ALL,0.14200830877501857685,-0.21782756731354879776,23.17924099674897320256
11,SouthlandRegion,ALL,0.00390532727409720337,-0.00657638589845532806,0.66697620260717327412
12,TaranakiRegion,ALL,0.03773934762442365809,-0.01815295743142542051,4.47816376508354707653
13,TasmanRegion,ALL,-0.00794137363648417249,0.02649065868445177330,2.38383864946475565461
14,WaikatoRegion,ALL,-0.00149029245991272319,-0.01441962689474962644,1.27751175077920375855
15,WellingtonRegion,ALL,-0.00110712459333939250,-0.00777819711584015749,0.66245536568892160467
16,WestCoastRegion,ALL,-0.00479853229415994065,-0.01664197285992941033,1.46580459047690481178
17,AreaOutsideRegion,RETAIL,nan,nan,nan
18,AucklandRegion,RETAIL,-0.00105048765046689141,0.00174961472274048901,0.19459229755617393764
19,BayOfPlentyRegion,RETAIL,0.04946152625500133126,-0.04911399421138185062,6.98911899480251808114
20,CanterburyRegion,RETAIL,0.01703152415969810818,0.00665204658426432616,1.96810781631019038329
21,GisborneRegion,RETAIL,-0.01011387677844766131,-0.01292895241007840923,1.58952062671877003552
22,HawkesBayRegion,RETAIL,-0.00542059361281843621,-0.00703752454754180690,0.85267909953481679786
23,Manawatu-WanganuiRegion,RETAIL,-0.04904000574077116426,-0.00240784874230826063,5.45684120495727320588
24,MarlboroughRegion,RETAIL,-0.02231641554307373099,-0.01631240838108283242,2.82924915287135769759
25,NelsonRegion,RETAIL,-0.00260240764549735104,-0.00153855838311756088,0.31664832431630873799
26,NorthlandRegion,RETAIL,0.00014243432040927928,0.02026748017820523273,1.83307201017647991570
27,OtagoRegion,RETAIL,0.14435429080009498648,-0.22616427925214566130,23.83229545797777504390
28,SouthlandRegion,RETAIL,0.00458358542395131963,-0.00170495402358028514,0.52625517046470493554
29,TaranakiRegion,RETAIL,0.02198944726169571595,-0.00631417865690764302,2.50492587117180232070
30,TasmanRegion,RETAIL,-0.00979787658673103579,-0.00666141771779393821,1.22362090932142386634
31,WaikatoRegion,RETAIL,0.01396929399146529249,-0.03782430603945385883,3.66762818044309657495
32,WellingtonRegion,RETAIL,0.00289811220647351320,-0.00493923908251758803,0.52417206128817250832
33,WestCoastRegion,RETAIL,-0.05998208887275779944,-0.04048246168790115007,7.45235710891302627346
34,AreaOutsideRegion,WHOLESALE,nan,nan,nan
35,AucklandRegion,WHOLESALE,0.00095534818768072682,0.00213338288256181841,0.21748109419417011035
36,BayOfPlentyRegion,WHOLESALE,0.05216796528159761692,-0.01995842166050465494,6.05994193419194715489
37,CanterburyRegion,WHOLESALE,-0.00483434295564677541,-0.03880206752842241258,3.17066117399206648386
38,GisborneRegion,WHOLESALE,0.00483508726181014481,-0.01933183373671454319,1.76302993865638657489
39,HawkesBayRegion,WHOLESALE,-0.01561951276057982341,-0.00864042447344104403,1.88803813698416478317
40,Manawatu-WanganuiRegion,WHOLESALE,-0.01719871895355851166,0.00873872754326043832,2.05128195275306524081
41,MarlboroughRegion,WHOLESALE,-0.01921495486040925016,-0.03045574417492957764,3.31663447675645839396
42,NelsonRegion,WHOLESALE,-0.00593079930108331155,-0.00409420676010086027,0.74292545151607092269
43,NorthlandRegion,WHOLESALE,0.02152869558372572101,-0.04150163376883142519,4.44963157514732809972
44,OtagoRegion,WHOLESALE,0.18009866931836171489,-0.25481296137596132212,28.17926305745254111912
45,SouthlandRegion,WHOLESALE,-0.00119658342939743534,-0.01590870812688649494,1.22965939574608662532
46,TaranakiRegion,WHOLESALE,0.02701966986403192550,-0.00281254975337219548,3.01422040827721504641
47,TasmanRegion,WHOLESALE,-0.02192097114212998576,0.01391329979026068031,2.70064319809806718808
48,WaikatoRegion,WHOLESALE,0.02920859600471459316,-0.01232890416505938447,3.42366603208992215102
49,WellingtonRegion,WHOLESALE,0.01206299605195937374,0.02627464751114416686,2.57555969474695434229
50,WestCoastRegion,WHOLESALE,0.01981170134346399436,-0.08073697876116625594,6.98590724707592691800
51,AreaOutsideRegion,TRANS_STOR,nan,nan,nan
52,AucklandRegion,TRANS_STOR,-0.00991048753471801547,0.01452918363679600589,1.69802921086453695310
53,BayOfPlentyRegion,TRANS_STOR,0.02900326190511748337,0.05967342147815202225,6.15176235920827263470
54,CanterburyRegion,TRANS_STOR,-0.00839067555376971086,-0.02187084970404384876,1.99262756049656752921
55,GisborneRegion,TRANS_STOR,-0.03487486007186646475,0.04692390062365348058,5.62842049899073426644
56,HawkesBayRegion,TRANS_STOR,0.00535098861625016298,0.01072345214853953621,1.09494684777726480895
57,Manawatu-WanganuiRegion,TRANS_STOR,0.00951790442818634119,0.00792152322816264132,1.25413591355778897274
58,MarlboroughRegion,TRANS_STOR,-0.01487923030169469030,-0.01312266306584319864,1.98267266705182509945
59,NelsonRegion,TRANS_STOR,-0.00419680192667470919,-0.00175312908453406635,0.48911101535103024274
60,NorthlandRegion,TRANS_STOR,0.00414393988180705719,0.03432595726738441044,3.13599877619052191946
61,OtagoRegion,TRANS_STOR,0.15474807773605192551,-0.22562750971556511104,24.58032287451638353559
62,SouthlandRegion,TRANS_STOR,-0.09046345949789724727,0.01520307708418044967,10.12671453164212564957
63,TaranakiRegion,TRANS_STOR,0.04726524957493438706,-0.01296622693857329978,5.37319725825841132405
64,TasmanRegion,TRANS_STOR,-0.01271006081399406185,-0.00083645114790442676,1.41502224270185172905
65,WaikatoRegion,TRANS_STOR,-0.03559780482548546843,0.02730359737603293979,4.62792047742978152058
66,WellingtonRegion,TRANS_STOR,0.02321644708518988409,0.02281201503117813445,3.21124032756620536588
67,WestCoastRegion,TRANS_STOR,-0.09636698988330039128,-0.12301260711706163420,14.72655788106475860388
68,AreaOutsideRegion,COMBO,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
69,AucklandRegion,COMBO,-0.00070510399829259995,0.00318295251580025251,0.29377289419006008542
70,BayOfPlentyRegion,COMBO,0.04642263115444222876,-0.02124448596288175395,5.48873398882532814724
71,CanterburyRegion,COMBO,0.00549783509242018908,-0.01399258621179910733,1.28186762693840194949
72,GisborneRegion,COMBO,-0.00733974920034086153,-0.00586531219386188241,0.96217917571461797355
73,HawkesBayRegion,COMBO,-0.00630815886058400110,-0.00422532370191675000,0.78939119114074596251
74,Manawatu-WanganuiRegion,COMBO,-0.02999171129044952977,0.00213913636130769191,3.33987540502223634320
75,MarlboroughRegion,COMBO,-0.02162836596326656036,-0.01936919027505723534,2.89599941502666036186
76,NelsonRegion,COMBO,-0.00362173122102404932,-0.00192070610262362607,0.43351952872555982177
77,NorthlandRegion,COMBO,0.00405585882619874383,0.01081933731975937008,1.07714647116760842138
78,OtagoRegion,COMBO,0.15597017536678237093,-0.23401254753491684824,25.15359973298935258867
79,SouthlandRegion,COMBO,-0.01194265083432100027,-0.00294272399776218663,1.34708843575860437447
80,TaranakiRegion,COMBO,0.02781878415608218802,-0.00616685249107717937,3.13863950645564493414
81,TasmanRegion,COMBO,-0.01048364744502094936,-0.00097855743393893135,1.16859659475891608515
82,WaikatoRegion,COMBO,0.00873121061285786482,-0.01817304531186891836,1.86833058635057414065
83,WellingtonRegion,COMBO,0.00856318855696258652,0.00830395623268032068,1.17885669585180630214
84,WestCoastRegion,COMBO,-0.04798465903726878423,-0.06471943799920154561,7.53101540215133447020
