,Region,Year,Sectors,AvgDistToCent_2000,AvgDistToCent_2020,Diff
0,AreaOutsideRegion,2020,ALL,0.00000000000215731023,0.00000000000070732407,-0.00000000000144998616
1,AucklandRegion,2020,ALL,13.02053093601967859172,12.99872845020885847589,-0.02180248581082011583
2,BayOfPlentyRegion,2020,ALL,33.30320164385869929902,29.84376091318420520793,-3.45944073067449409109
3,CanterburyRegion,2020,ALL,47.58180447737968421507,42.78359633931444250265,-4.79820813806524171241
4,GisborneRegion,2020,ALL,21.76520044456270142064,18.17420734448522878779,-3.59099310007747263285
5,HawkesBayRegion,2020,ALL,22.51853962449329316087,20.36794118394513830594,-2.15059844054815485492
6,Manawatu-WanganuiRegion,2020,ALL,43.26923766079220001757,41.37258211721371026215,-1.89665554357848975542
7,MarlboroughRegion,2020,ALL,21.55761175892052250447,21.54975671933112835177,-0.00785503958939415270
8,NelsonRegion,2020,ALL,2.93490048549529358723,3.22799489174291176496,0.29309440624761817773
9,NorthlandRegion,2020,ALL,43.94133408021763642637,43.54525785409271065873,-0.39607622612492576764
10,OtagoRegion,2020,ALL,67.71014440798361988527,78.75925238545066520146,11.04910797746704531619
11,SouthlandRegion,2020,ALL,37.84432157529406737240,37.91171282671780318196,0.06739125142373580957
12,TaranakiRegion,2020,ALL,27.02209885500496255872,24.89075391411883586557,-2.13134494088612669316
13,TasmanRegion,2020,ALL,25.68233330684019577461,23.51894899770953273332,-2.16338430913066304129
14,WaikatoRegion,2020,ALL,44.90793523353247707064,43.10240055686753635200,-1.80553467666494071864
15,WellingtonRegion,2020,ALL,20.71969492619818353774,19.94228788930334062002,-0.77740703689484291772
16,WestCoastRegion,2020,ALL,57.63121108451745300272,56.23862936836137293994,-1.39258171615608006277
17,AreaOutsideRegion,2020,RETAIL,0.00000000000000000000,nan,nan
18,AucklandRegion,2020,RETAIL,11.97532491118943376307,12.58329448250803217491,0.60796957131859841184
19,BayOfPlentyRegion,2020,RETAIL,33.24653314256863723131,28.05911963245318219151,-5.18741351011545503980
20,CanterburyRegion,2020,RETAIL,38.19339273974603798933,34.78198160541327155215,-3.41141113433276643718
21,GisborneRegion,2020,RETAIL,11.49135334834360122613,10.02913773620654502849,-1.46221561213705619764
22,HawkesBayRegion,2020,RETAIL,16.01670130591323015778,15.10487800997630181143,-0.91182329593692834635
23,Manawatu-WanganuiRegion,2020,RETAIL,39.65988909496177683423,34.59618736301499808405,-5.06370173194677875017
24,MarlboroughRegion,2020,RETAIL,12.26079561923742566876,11.60933151126485718407,-0.65146410797256848468
25,NelsonRegion,2020,RETAIL,2.10616937024054928784,2.68232904354078005582,0.57615967330023076798
26,NorthlandRegion,2020,RETAIL,40.93341223759875902033,42.58468151341368468366,1.65126927581492566333
27,OtagoRegion,2020,RETAIL,66.79423565068719881310,80.00253314283199301826,13.20829749214479420516
28,SouthlandRegion,2020,RETAIL,30.41547057190904013169,30.84683041056109331635,0.43135983865205318466
29,TaranakiRegion,2020,RETAIL,23.95943253152247010007,21.69476648251845318782,-2.26466604900401691225
30,TasmanRegion,2020,RETAIL,20.50672459811656267448,20.22762885390061171620,-0.27909574421595095828
31,WaikatoRegion,2020,RETAIL,45.90933555040208347009,41.05630860237718593453,-4.85302694802489753556
32,WellingtonRegion,2020,RETAIL,19.81715405386334083460,19.47103809857238942982,-0.34611595529095140478
33,WestCoastRegion,2020,RETAIL,47.10214538512347104415,45.23650998652340149420,-1.86563539860006954996
34,AreaOutsideRegion,2020,WHOLESALE,nan,0.00000000000000000000,nan
35,AucklandRegion,2020,WHOLESALE,10.97307333127836059816,12.06270158344356602242,1.08962825216520542426
36,BayOfPlentyRegion,2020,WHOLESALE,28.64501487211929742216,23.64866271361356098168,-4.99635215850573644047
37,CanterburyRegion,2020,WHOLESALE,28.34538941521573462978,31.29724032736648453579,2.95185091215074990600
38,GisborneRegion,2020,WHOLESALE,6.78272631778845980222,7.31121027060123118702,0.52848395281277138480
39,HawkesBayRegion,2020,WHOLESALE,14.06850784570136880802,12.97456962222897480785,-1.09393822347239400017
40,Manawatu-WanganuiRegion,2020,WHOLESALE,33.57867287635292541381,30.73549992383743045821,-2.84317295251549495561
41,MarlboroughRegion,2020,WHOLESALE,6.76262901379033731786,10.92860821502301504893,4.16597920123267773107
42,NelsonRegion,2020,WHOLESALE,2.96953706319564414429,3.32020241930733828184,0.35066535611169413755
43,NorthlandRegion,2020,WHOLESALE,31.15526943382907276714,37.11963067766470203424,5.96436124383562926710
44,OtagoRegion,2020,WHOLESALE,51.09228584415630081139,73.74055865308270085734,22.64827280892640004595
45,SouthlandRegion,2020,WHOLESALE,25.84847971207410566308,27.28999599966528677442,1.44151628759118111134
46,TaranakiRegion,2020,WHOLESALE,21.25590225089320739471,18.66615007489268407426,-2.58975217600052332045
47,TasmanRegion,2020,WHOLESALE,22.22647554793325141986,18.96977008858504376576,-3.25670545934820765410
48,WaikatoRegion,2020,WHOLESALE,33.17950085817093963669,32.53471588614792153749,-0.64478497202301809921
49,WellingtonRegion,2020,WHOLESALE,15.61514426568069779933,18.08423034360173886625,2.46908607792104106693
50,WestCoastRegion,2020,WHOLESALE,40.73524812082743551400,49.61150679489578152470,8.87625867406834601070
51,AreaOutsideRegion,2020,TRANS_STOR,0.00000000000000000000,nan,nan
52,AucklandRegion,2020,TRANS_STOR,14.82880595519431921048,14.10361167955514893890,-0.72519427563917027157
53,BayOfPlentyRegion,2020,TRANS_STOR,30.44615313802777478713,31.99850508410118976599,1.55235194607341497885
54,CanterburyRegion,2020,TRANS_STOR,39.76408780581609647697,39.82983747272363928005,0.06574966690754280307
55,GisborneRegion,2020,TRANS_STOR,20.05725154510091101656,14.24420052120591151379,-5.81305102389499950277
56,HawkesBayRegion,2020,TRANS_STOR,18.17567316267113852746,16.14014687751517129755,-2.03552628515596722991
57,Manawatu-WanganuiRegion,2020,TRANS_STOR,36.06827491926716078297,33.85113622513732423158,-2.21713869412983655138
58,MarlboroughRegion,2020,TRANS_STOR,9.08283381065295358781,11.81629229347138831940,2.73345848281843473160
59,NelsonRegion,2020,TRANS_STOR,2.73348367552496984700,2.82785198212060251421,0.09436830659563266721
60,NorthlandRegion,2020,TRANS_STOR,38.29994958122268400302,37.16438886102100269682,-1.13556072020168130621
61,OtagoRegion,2020,TRANS_STOR,56.65203157499537667263,73.71805732284802559207,17.06602574785264891943
62,SouthlandRegion,2020,TRANS_STOR,33.93438876789260660871,25.38310458184660234338,-8.55128418604600426534
63,TaranakiRegion,2020,TRANS_STOR,23.60828135303422570246,17.20880285898678252465,-6.39947849404744317781
64,TasmanRegion,2020,TRANS_STOR,15.92675927224455456610,15.80522068600902407809,-0.12153858623553048801
65,WaikatoRegion,2020,TRANS_STOR,44.17591784837786406115,49.30602385707124568626,5.13010600869338162511
66,WellingtonRegion,2020,TRANS_STOR,16.92541339462762906010,18.95152801798396779986,2.02611462335633873977
67,WestCoastRegion,2020,TRANS_STOR,42.96405710051276827244,40.80420861568204315972,-2.15984848483072511272
68,AreaOutsideRegion,2020,COMBO,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
69,AucklandRegion,2020,COMBO,12.05187968979740276154,12.71237383070260662521,0.66049414090520386367
70,BayOfPlentyRegion,2020,COMBO,31.52837390361514025017,27.70815926966582765090,-3.82021463394931259927
71,CanterburyRegion,2020,COMBO,35.02950072237977252598,34.45341328661682211987,-0.57608743576295040612
72,GisborneRegion,2020,COMBO,11.63029243762714415311,10.22142444754686962938,-1.40886799008027452373
73,HawkesBayRegion,2020,COMBO,15.90597429565417897379,14.77183886308936067167,-1.13413543256481830213
74,Manawatu-WanganuiRegion,2020,COMBO,37.46544425618229468000,33.46787674447863025762,-3.99756751170366442238
75,MarlboroughRegion,2020,COMBO,10.32971577929176376642,11.25752275095439713937,0.92780697166263337294
76,NelsonRegion,2020,COMBO,2.59492245994838421908,3.00348005971730991348,0.40855759976892569441
77,NorthlandRegion,2020,COMBO,38.85456692523440125342,40.35383118559006732085,1.49926426035566606743
78,OtagoRegion,2020,COMBO,61.60909875694344606245,77.65721560183744998085,16.04811684489400391840
79,SouthlandRegion,2020,COMBO,29.81862304432623744788,28.99887585782905219389,-0.81974718649718525398
80,TaranakiRegion,2020,COMBO,23.19790525767240652044,20.13583967165784116560,-3.06206558601456535484
81,TasmanRegion,2020,COMBO,20.34948250574418082692,19.29636669695300810190,-1.05311580879117272502
82,WaikatoRegion,2020,COMBO,42.31466492539045276544,40.48243015510490039333,-1.83223477028555237212
83,WellingtonRegion,2020,COMBO,18.18644569685854150976,19.11672904311126330867,0.93028334625272179892
84,WestCoastRegion,2020,COMBO,45.05120501417824385726,45.37726385063622558391,0.32605883645798172665
